Date,ESI,station,week_x,week_y,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM
2013-10-29,1.23,2176:AL:SCAN,44,44,,0.5637251515868981,0.46006050673126436,0.11403763631708846,0.047392821653876815
2013-11-05,-0.363,2176:AL:SCAN,45,45,,0.31250616483080884,-0.0012672196515201878,-0.33531697840672475,0.17531674724334556
2013-11-12,0.088,2176:AL:SCAN,46,46,,0.39311681828567946,0.109332228879295,-0.29961201152743394,0.3031497990599785
2013-11-19,-2.102,2176:AL:SCAN,47,47,,0.5888541206984476,0.3095807707195345,-0.40750907204242987,-0.3395783607174319
2013-11-26,-1.924,2176:AL:SCAN,48,48,,0.3829911494979038,0.1584466685097166,-0.3102312594375416,-0.23604996163872066
2013-12-03,0.976,2176:AL:SCAN,49,49,,0.2856522969115741,0.058617038722777834,-0.19901236225758376,0.03518172032111179
2013-12-17,0.46,2176:AL:SCAN,51,51,,0.04506970679804131,-0.29322119970654287,-0.5309551753499226,-0.26783067745203226
2013-12-24,-0.275,2176:AL:SCAN,52,52,,-0.46763395145735825,-1.0316308783427117,-1.2144278182703137,-1.3737862317147964
2014-01-08,0.715,2176:AL:SCAN,2,2,,0.013804454165643415,-0.5553701493039124,-0.6728643356512437,-0.9558235289318463
2014-01-15,0.796,2176:AL:SCAN,3,3,,-0.022595696227535694,-0.6136124981397743,-0.5314215322698651,-0.670982135889121
2014-01-22,0.376,2176:AL:SCAN,4,4,,-0.5003664180268076,-0.8655106433094854,-0.853546873687668,-0.9503518460270356
2014-01-29,0.327,2176:AL:SCAN,5,5,,-1.0792599356038701,-1.3188731530529358,-1.0780927336706025,-1.1814556106066174
2014-02-05,1.832,2176:AL:SCAN,6,6,,-1.5126796069344841,-1.5145225988386144,-1.192341862389024,-1.3660938644790341
2014-02-19,1.365,2176:AL:SCAN,8,8,,-0.20720425122491765,-0.3242908039084841,-0.23928708036688356,-0.34030777660700634
2014-02-26,-0.631,2176:AL:SCAN,9,9,,-1.09083121549963,-1.1120973991028307,-0.7903303312818828,-0.9464947132155026
2014-03-05,-0.42,2176:AL:SCAN,10,10,,-1.138039070157424,-1.578772379670766,-1.076266572884014,-1.251688803608382
2014-03-12,1.251,2176:AL:SCAN,11,11,,-0.17778539482648678,-0.8167987894990145,-0.8477018678119084,-1.1318900477142895
2014-03-19,0.631,2176:AL:SCAN,12,12,,0.56746081139005,0.1415840583066095,-0.430757054510826,-0.8171699435773896
2014-03-26,0.937,2176:AL:SCAN,13,13,,-0.28788988072984056,-0.8311464187426523,-0.703681093084452,-0.5729923037425944
2014-04-02,0.51,2176:AL:SCAN,14,14,,0.5764816440157514,0.4663523149489218,-0.12602876684164227,-0.45952525276101613
2014-04-09,-0.656,2176:AL:SCAN,15,15,,0.6156868213722384,0.8600351893070245,0.384155161572833,0.30490028417241
2014-04-16,-1.256,2176:AL:SCAN,16,16,,0.32324273101697676,0.2661589145429343,-0.24754711922497497,0.073251212795472
2014-04-23,0.598,2176:AL:SCAN,17,17,,0.7339401206937355,1.022516919574667,-0.7132917954028816,-0.41536292628346166
2014-04-30,-0.491,2176:AL:SCAN,18,18,,-1.6361586297416897,-1.5343124192165725,-1.0856154855844546,-1.2076264749450372
2014-05-07,-0.255,2176:AL:SCAN,19,19,,0.8711709395725606,0.6357021652505994,-0.6532492575571749,-1.0793212841099638
2014-05-14,1.302,2176:AL:SCAN,20,20,,0.8201027696178773,0.3130898017544113,-0.778514752691119,-0.9684135881817421
2014-05-21,0.903,2176:AL:SCAN,21,21,,1.5599319575208217,1.1393211392565186,0.6673020527858119,0.06164677363418138
2014-05-28,-0.533,2176:AL:SCAN,22,22,,0.05208611745791441,0.20647170389670685,0.38446704394342207,0.41250604140626823
2014-06-04,1.571,2176:AL:SCAN,23,23,,-0.613093738886184,-0.5457288948859195,-0.30481854136155645,-0.05967188167148194
2014-06-11,0.552,2176:AL:SCAN,24,24,,1.226912441158695,0.5092862790481177,0.06482849167094824,0.28059038582975615
2014-06-25,1.166,2176:AL:SCAN,26,26,,0.25925716543850386,0.32435634797418295,-0.09185081670002251,0.34114077958197225
2014-07-09,-2.704,2176:AL:SCAN,28,28,,-0.37748745711897813,0.07732244155587549,0.31695085909966314,0.5922454786440017
2014-07-23,-2.959,2176:AL:SCAN,30,30,,0.7017650751090384,0.5617345020832823,0.4465745789921952,0.7017375886056242
2014-08-06,-0.632,2176:AL:SCAN,32,32,,-0.9624331377135182,-0.7035728496976134,-0.8047195635396959,0.33153662261266326
2014-08-13,-0.236,2176:AL:SCAN,33,33,,-0.9036633933403447,-0.9082539017949983,-0.751154692552045,-0.092740691802216
2014-08-20,-0.635,2176:AL:SCAN,34,34,,-0.7616345871002831,-0.9422834815132731,-1.0142789977043418,-0.359595097611948
2014-08-27,0.27,2176:AL:SCAN,35,35,,-1.389500366632252,-1.3424567365957072,-1.0198931098803619,-0.41047193738231863
2014-09-03,0.966,2176:AL:SCAN,36,36,,-0.7915706654483685,-1.1842757469818637,-0.7157626999414444,-0.41737576713804775
2014-09-10,2.363,2176:AL:SCAN,37,37,,-0.7446705952166885,-0.8320302406995901,-0.7052387473652515,-0.34402955785519274
2014-09-17,1.573,2176:AL:SCAN,38,38,,-0.6495598025322479,-0.5992489937631189,-0.6268612994182988,-0.15530524276499663
2014-09-24,-1.282,2176:AL:SCAN,39,39,,-0.450812547109774,-0.5422890513134238,-0.6127970141129369,-0.07828539573263411
2014-10-01,-1.923,2176:AL:SCAN,40,40,,-0.7011184507314709,-0.7059384046418266,-0.6739796481385975,-0.1823550720891635
2014-10-08,0.192,2176:AL:SCAN,41,41,,-0.7906709854888656,-0.7954314212841925,-0.7783132739638856,-0.3596284307294849
2014-10-15,0.625,2176:AL:SCAN,42,42,,0.21312156143829916,-0.3632231302928725,-0.7798091320125835,-0.5071978308646019
2014-10-22,-0.963,2176:AL:SCAN,43,43,,0.5421703579800428,0.3392712450835931,0.15247981303695693,-0.3353089098648288
2014-10-29,-0.051,2176:AL:SCAN,44,44,,0.04476724774868168,0.05033740913344595,0.06191222419453887,0.3448858054051139
2014-11-05,-0.066,2176:AL:SCAN,45,45,,-0.5086109508347276,-0.5182928374717585,-0.3957058181197844,0.309756532694201
2014-11-12,0.446,2176:AL:SCAN,46,46,,-0.6141437515674878,-0.6864191617406514,-0.5331928549280205,0.40280401477306665
2014-11-19,0.481,2176:AL:SCAN,47,47,,-0.4234643676653293,-0.7544262657571107,-0.7444162683814595,-0.19906317697228787
2014-11-26,0.572,2176:AL:SCAN,48,48,,0.6452481370455296,-0.14601947882268002,-0.8722369790136503,-0.3918585171758297
2014-12-03,0.973,2176:AL:SCAN,49,49,,-0.7392795325385929,-0.7945080549774024,-1.0379860462846515,-0.8873611680991687
2014-12-10,-0.752,2176:AL:SCAN,50,50,,-1.821532186481991,-1.9548098127867766,-1.2355915625652665,-1.0427406370349392
2014-12-17,-0.241,2176:AL:SCAN,51,51,,-1.9554106881241058,-2.0320911049430137,-1.7393596353108216,-1.5958244531516967
2015-01-08,0.432,2176:AL:SCAN,2,2,,0.19742032644118046,-0.30518398495729504,-0.46907901515853045,-0.2528860457712058
2015-01-15,0.898,2176:AL:SCAN,3,3,,-1.6214359948104748,-1.4615573282463112,-1.0857423579064849,-0.6496529024303929
2015-01-22,-0.897,2176:AL:SCAN,4,4,,-1.9433984581633803,-1.9326635511892791,-1.4018860773900497,-1.1077791920193338
2015-01-29,0.109,2176:AL:SCAN,5,5,,-0.17190182882360394,-0.6200815552199388,-0.5484606977490444,-0.8493926797763075
2015-02-05,-0.025,2176:AL:SCAN,6,6,,-0.7061489115968214,-1.0574650244291555,-0.9965066437117576,-0.6956183481703072
2015-02-12,-0.31,2176:AL:SCAN,7,7,,-0.7662463665661416,-1.2805867368235022,-1.1388062427207706,-0.9595064588276878
2015-02-19,0.485,2176:AL:SCAN,8,8,,-1.2828347178046573,-1.4435349561291886,-1.2196932115149373,-0.9804907226993977
2015-03-05,3.076,2176:AL:SCAN,10,10,,-0.20266449194584318,-0.65418745013982,-0.5848096487243304,-0.2071760778386291
2015-03-12,1.418,2176:AL:SCAN,11,11,,-0.4893331343319482,-1.033408413233559,-0.8182531676894104,-0.530154281956333
2015-03-19,0.43,2176:AL:SCAN,12,12,,-0.08443618200114478,-0.3486317134646589,-0.7345095720651433,-0.4877349401456673
2015-03-26,1.885,2176:AL:SCAN,13,13,,0.16365524340244186,-1.0325395894379858,-1.2349796149196957,-0.5853717670950578
2015-04-02,1.673,2176:AL:SCAN,14,14,,0.7759310403936145,0.627036082871917,-0.0049423045820258206,-0.3486053641635303
2015-04-09,-0.812,2176:AL:SCAN,15,15,,0.5949294458624047,0.2965175925691922,-0.535061950104949,-0.008890745850653007
2015-04-16,0.031,2176:AL:SCAN,16,16,,0.8605591440531142,0.622201003505285,-0.48883853507603364,-0.11289304560243087
2015-04-23,1.505,2176:AL:SCAN,17,17,,0.8623971332384155,0.9381131153793392,0.08459481570792302,0.4002588198731532
2015-04-30,1.867,2176:AL:SCAN,18,18,,-1.0665095903732098,-0.8655542251426069,-0.8608331381091453,-0.33195419690432315
2015-05-07,0.028,2176:AL:SCAN,19,19,,-0.7512174025083388,-1.0743738348387326,-1.3873280070505591,-0.664657138594198
2015-05-14,1.207,2176:AL:SCAN,20,20,,-0.8300520233220796,-0.6109810694430746,-1.0310060238341845,-0.9476783249930768
2015-05-21,2.268,2176:AL:SCAN,21,21,,-0.915533205137552,-0.6422728425399036,-0.8864037255481947,-0.5939617713642567
2015-05-28,0.447,2176:AL:SCAN,22,22,,0.6290400339148057,-0.31143721348900066,-0.7743175237413603,-0.4614007474828024
2015-06-04,0.884,2176:AL:SCAN,23,23,,1.1042728196715452,0.7497875629168608,0.2822552323886434,-0.49998202175841155
2015-06-18,-0.034,2176:AL:SCAN,25,25,,-0.35079448188622175,0.11735608516584924,0.021305621999748645,
2015-07-16,1.191,2176:AL:SCAN,29,29,-1.6738964730708763,-1.3921225653861455,0.46401904478133416,0.5134202193218178,0.7402675214395076
2015-07-23,1.028,2176:AL:SCAN,30,30,0.2151404890898848,1.3662382863233937,1.5203832032433753,0.7477228541627251,0.9147355860882722
2015-07-30,1.412,2176:AL:SCAN,31,31,0.11138561711254201,0.031506313312963545,0.3075103339521009,0.1446848916804214,0.5917772205413341
2015-08-06,-1.651,2176:AL:SCAN,32,32,0.06944546432083201,-0.9016478869105594,-0.42740406757331645,-0.1524430661250921,0.8464544396079553
2015-08-13,-0.37,2176:AL:SCAN,33,33,,-0.7359041000222111,-0.4729703928434534,-0.31396337363444965,0.5817370667593504
2015-08-20,0.306,2176:AL:SCAN,34,34,1.2801409722683392,0.7575967629141976,0.30969316972028604,-0.5267939597839502,-0.2970679159831851
2015-08-27,-1.082,2176:AL:SCAN,35,35,-0.8673129899867317,0.48317777010827906,0.7857747095632255,0.605058277344434,0.3599604943106599
